model,brand,price,rating,ratings_count,reviews_count,ram,rom,battery,display_inch,rear_camera,front_camera,processor
itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,itel,1579.0,4.1,368.0,512.0,32,32,1900,2.8,0.8MP + 0MP,0MP,Unisoc Processor
Jmax Super 1,Jmax,599.0,3.8,695.0,180.0,32,32,1100,1.8,0.3MP,0,0
"OPPO K14x 5G (Icy Blue, 64 GB)",OPPO,12999.0,4.6,767.0,482.0,4,64,6500,6.75,50MP + 2MP,5MP; f/2.2; FOV 77°; 3P lens,Dimensity 6300 Processor
"POCO M7 5G (Ocean Blue, 128 GB)",POCO,13499.0,4.3,955.0,833.0,8,128,5160,6.88,50MP,8MP,4 Gen 2 5G Processor
"IQOO Z10 Lite 5G (Cyber Green, 128 GB)",IQOO,15998.0,4.3,948.0,163.0,6,128,6000,6.74,50MP,0,0
Kechaoda A27,Kechaoda,899.0,4,646.0,881.0,32,32,800,1.68,0MP Front Camera,0,0
"MOTOROLA g05 (Forest Green, 64 GB)",MOTOROLA,7299.0,4.2,7.0,871.0,4,64,5100,6.67,50MP,8MP,Helio G81 Processor
"hmd 105 Dual Sim Keypad Phone with Built-in UPI App, Wireless FM Radio",hmd,1009.0,3.8,897.0,353.0,4,4,1000,2.0,0,0,SC6531E Processor
HOTLINE HC56,HOTLINE,480.0,3.7,206.0,98.0,32,32,3000,1.8,1MP,0,0
Kechaoda A26_Pink,Kechaoda,899.0,4,560.0,69.0,32,16,800,0.66,0MP,0MP,NA Processor
Nokia All-New 105 Single Sim Keypad Phone with Built-in UPI Payments,Nokia,1264.0,3.7,843.0,881.0,32,32,1000,1.77,0MP,0MP,SC6531E Processor
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",Samsung,10999.0,4.2,407.0,718.0,4,128,5000,6.7,50MP + 2MP,8MP,Dimensity 6300 Processor
"Samsung Galaxy F06 5G (Lit Violet, 64 GB)",Samsung,9999.0,4.2,407.0,718.0,4,64,5000,6.7,50MP + 2MP,8MP,Dimensity 6300 Processor
HOTLINE H310,HOTLINE,470.0,3.5,701.0,497.0,32,32,1000,1.8,0.3MP,0,0
Kechaoda A26,Kechaoda,894.0,4,724.0,654.0,32,32,800,0.66,0,0,0
"IQOO Z10R 5G (Moonstone, 128 GB)",IQOO,22351.0,4.4,650.0,264.0,8,128,5700,6.77,50MP,0,0
KARBONN K9,KARBONN,1297.0,4.2,264.0,13.0,32,32,1800,2.4,2MP + 0MP,0MP,NA Processor
"IQOO Z11x 5G (Titan Black, 256 GB)",IQOO,23463.0,4.4,32.0,8.0,8,256,7200,6.7,50MP,0,0
LAVA A3 Torch,LAVA,1199.0,4.1,828.0,47.0,4,32,1750,1.8,0.3MP + 0MP,0MP,Mtk Processor
"POCO C85 5G (Power Black, 128 GB)",POCO,11999.0,4.3,401.0,21.0,4,128,6000,6.9,50MP,8MP,Dimensity 6300 Processor
"Ai+ Pulse 2 (Purple, 64 GB)",Ai+,7499.0,4.6,14.0,76.0,4,64,6000,6.745,50MP,8MP,T7250 Processor
"vivo T5x 5G (Star Silver, 128 GB)",vivo,18999.0,4.6,606.0,72.0,6,128,7200,6.76,50MP + 2MP,32MP,Dimensity 7400-Turbo Processor
Jmax Super 1,Jmax,599.0,3.8,695.0,180.0,32,32,1100,1.8,0.3MP,0,0
"realme Narzo 80 Lite 5G (Onyx Black, 128 GB)",realme,13262.0,4.3,407.0,68.0,4,128,6000,6.67,32MP,0,0
MOTOROLA Moto A100,MOTOROLA,999.0,4,69.0,2.0,4,36,800,1.44,0MP,0MP,Mtk Processor
"OnePlus Nord CE5 5G (Black Infinity, 128 GB)",OnePlus,26276.0,4.5,92.0,548.0,8,128,7100,6.77,50MP,0,0
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",Nokia,1236.0,4,480.0,898.0,32,32,800,1.77,0MP Front Camera,0,SC6531E Processor
HOTLINE H1282,HOTLINE,539.0,3.5,191.0,46.0,32,32,1000,1.8,0.3MP,0,0
Kechaoda K112,Kechaoda,1699.0,4,179.0,837.0,32,64,3600,2.4,0.3MP + 0MP,0MP,"MediaTek MT6261D
Number of cores: 1
GPU: - Processor"
"Nokia 105 Classic Single Sim Keypad Phone, Charger in-Box",Nokia,1179.0,3.6,708.0,427.0,32,32,800,1.77,0MP Front Camera,0,SC6531E Processor
Kechaoda K115,Kechaoda,999.0,4.1,15.0,732.0,32,32,850,1.44,0.3MP + 0MP,0MP,NA Processor
"IQOO Z11x 5G (Prismatic Green, 128 GB)",IQOO,19495.0,4.4,34.0,2.0,6,128,7200,6.7,50MP,0,0
"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 128 GB)",MOTOROLA,20999.0,4.4,128.0,790.0,8,128,5500,6.67,50MP + 13MP,32MP,Dimensity 7400 Processor
Kechaoda K115,Kechaoda,922.0,4.1,15.0,732.0,32,32,850,1.44,0.3MP + 0MP,0MP,NA Processor
HOTLINE HC56,HOTLINE,480.0,3.7,206.0,98.0,32,32,3000,1.8,1MP,0,0
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",OPPO,24999.0,4.5,667.0,43.0,8,256,7000,6.67,50MP + 2MP,16MP,Snapdragon 6 Gen 4 Processor
"IQOO Z10R 5G (Moonstone, 256 GB)",IQOO,26920.0,4.3,700.0,41.0,12,256,5700,6.77,50MP,0,0
"Nokia 106 Single Sim Keypad Phone with Built-in UPI App, MP3 Player",Nokia,1249.0,3.8,243.0,435.0,32,32,1000,6.7,0,0,SC6531E Processor
LAVA A3 Torch,LAVA,1199.0,4.1,828.0,47.0,4,32,1750,1.8,0.3MP + 0MP,0MP,Mtk Processor
HOTLINE H310,HOTLINE,493.0,3.5,701.0,497.0,32,32,100,1.8,0.3MP,0,0
"realme P4 Lite (Beach Gold, 128 GB)",realme,10499.0,4.4,859.0,17.0,4,128,6300,6.75,13MP,5MP,T7250 Processor
"IQOO Z11x 5G (Prismatic Green, 128 GB)",IQOO,20334.0,4.4,32.0,8.0,8,128,7200,6.7,50MP,0,0
"MOTOROLA g35 5G (Guava Red, 128 GB)",MOTOROLA,11999.0,4.2,671.0,860.0,4,128,5000,6.72,50MP + 8MP,16MP,T760 Processor
